"","conc","time"
"1",11.3,0.02083333
"2",11.3,0.03125
"3",11.3,0.03125
"4",11.3,0.03125
"5",11.3,0.03125
"6",11.3,0.03125
"7",11.3,0.03125
"8",11.3,0.03125
"9",11.3,0.03125
"10",11.3,0.03125
"11",5.7,0.04166667
"12",5.7,0.05208333
"13",5.7,0.05208333
"14",5.7,0.05208333
"15",5.7,0.05208333
"16",5.7,0.05729167
"17",5.7,0.0625
"18",5.7,0.07291667
"19",5.7,0.07291667
"20",5.7,0.07291667
"21",5.7,0.08333333
"22",3.4,0.07291667
"23",3.4,0.08333333
"24",3.4,0.08333333
"25",3.4,0.09375
"26",3.4,0.09375
"27",3.4,0.09375
"28",3.4,0.09375
"29",3.4,0.09375
"30",3.4,0.11458333
"31",3.4,0.11458333
"32",2.8,0.07291667
"33",2.8,0.08333333
"34",2.8,0.10416667
"35",2.8,0.125
"36",2.8,0.125
"37",2.8,0.125
"38",2.8,0.125
"39",2.8,0.16666667
"40",2.8,0.16666667
"41",2.8,0.1875
"42",2.3,0.07291667
"43",2.3,0.1075
"44",2.3,0.14583333
"45",2.3,0.16666667
"46",2.3,0.16666667
"47",2.3,0.17708333
"48",2.3,0.1875
"49",1.9,0.125
"50",1.8,0.07291667
"51",1.8,0.15833333
"52",1.7,0.22916667
"53",1.7,0.27083333
"54",1.7,0.29166667
"55",1.7,0.29166667
"56",1.7,0.39583333
"57",1.4,0.29166667
"58",1.4,0.11458333
"59",1.1,0.38541667
"60",1.1,0.625
"61",1.1,0.95833333
"62",1.1,0.95833333
"63",1.1,0.95833333
"64",1.1,0.8125
"65",1.1,0.8125
"66",1.1,0.8125
"67",1.1,0.8125
"68",1.1,0.8125
"69",1.1,0.8125
"70",1.1,0.8125
"71",1.1,0.8125
"72",1.1,0.8125
"73",1.1,0.8125
"74",0.92,0.13541667
"75",0.74,1.04166667
"76",0.66,3
"77",0.56,0.8125
"78",0.56,0.8125
"79",0.56,1.04166667
"80",0.56,1.04166667
"81",0.56,3
"82",0.56,8
"83",0.56,13
"84",0.56,13
"85",0.56,13
"86",0.56,13
"87",0.56,20
"88",0.46,7
"89",0.45,6
"90",0.41,3
"91",0.37,5
"92",0.32,20
"93",0.28,8
"94",0.28,10
"95",0.28,10
"96",0.28,20
"97",0.28,48
"98",0.28,50
"99",0.28,52
"100",0.28,52
"101",0.28,52
"102",0.28,57
"103",0.28,65
"104",0.26,8
"105",0.23,9
"106",0.22,3
"107",0.22,13
"108",0.22,15
"109",0.22,20
"110",0.22,20
"111",0.22,35
"112",0.22,47
"113",0.22,50
"114",0.22,52
"115",0.22,66
"116",0.22,75
"117",0.21,14
"118",0.18,114
"119",0.16,102
"120",0.14,86
"121",0.11,12
"122",0.09,65
"123",0.06,60
"124",0.04,9
"125",0.02,28
"126",0.02,16
"127",0.013,110
"128",0.009,86
"129",0.006,78
"130",0,69
"131",0,13
"132",0,94
"133",0,58
"134",0,112
"135",0,102
"136",0,14
